id,statement,answer,explanation,category,effort_hours,multiplier,booth,source_url
1,"Spring Boot 3.5 will receive at least 12 months of community support after Spring Boot 4.0 launched.",false,"False — Boot 4.0 GA shipped 20 Nov 2025 and Boot 3.5 goes EOL 30 Jun 2026. That's barely 7 months to migrate while patches continue.",timeline,0,0.2,yes,https://spring.io/blog/2025/11/20/spring-boot-4-0-0-available-now/
2,"Jackson 3.0 changes its Maven group ID from com.fasterxml.jackson to tools.jackson.",true,"Jackson 3.0 moved to a new Maven group ID. Every dependency declaration needs updating.",dependencies,20,0,yes,https://github.com/FasterXML/jackson/blob/main/jackson3/MIGRATING_TO_JACKSON_3.md
3,"WebSecurityConfigurerAdapter has been removed in Spring Boot 4.0.",false,"False — this already happened in Spring Boot 3.0 (Spring Security 6.0). If you're on Boot 3.5 you've already made this change. The 4.0 migration has plenty of real security work to do — the DSL rewrite, PKCE enforcement, and Password Grant removal — but WebSecurityConfigurerAdapter isn't on that list.",security,0,0.2,no,https://docs.spring.io/spring-security/reference/6.5/migration-7/configuration.html
4,"The .and() method has been removed from the HttpSecurity DSL.",true,"Security configurations using the fluent .and() chain pattern must be rewritten using lambda-based configuration.",security,10,0,yes,https://docs.spring.io/spring-security/reference/6.5/migration-7/configuration.html
5,"In Jackson 3.0, JacksonException no longer extends IOException — it's now a RuntimeException.",true,"This means existing catch(IOException) blocks silently stop catching Jackson errors. Your code compiles but doesn't work.",silent-failures,10,0,yes,https://github.com/FasterXML/jackson/blob/main/jackson3/MIGRATING_TO_JACKSON_3.md
6,"Spring Boot 4.0 removes the OAuth 2.0 Password Grant entirely.",true,"System-to-system and mobile auth flows using the Password Grant will get 'unsupported grant type' errors at runtime.",security,20,0,yes,https://github.com/spring-projects/spring-security/issues/6003
7,"Jackson 3.0 changes the default date serialisation from numeric timestamps to ISO-8601 strings.",true,"APIs silently start returning '2025-11-06T05:30:00' instead of 1699257000000. No error, no warning — just different output.",silent-failures,10,0,yes,https://spring.io/blog/2025/10/07/introducing-jackson-3-support-in-spring/
8,"Spring Boot 4.0 removes a large number of deprecated classes that accumulated across the 2.x and 3.x lifecycle.",true,"The vast majority of deprecations were cleared in a single release. Code that compiled with warnings on 3.5 may not compile at all on 4.0.",removals,32,0,no,https://github.com/spring-projects/spring-boot/wiki/Spring-Boot-4.0-Migration-Guide
9,"Spring Boot 4.0 removes @MockBean and @SpyBean at compile time — code using them won't build.",false,"False — and that's exactly the trap. The annotations still compile; they're marked @Deprecated(forRemoval) but the classes are there. What's gone is MockitoPostProcessor, the machinery that wired them up. Your tests compile, run, and then fail with NullPointerExceptions because the mocked fields were never injected. Replace @MockBean with @MockitoBean and @SpyBean with @MockitoSpyBean.",testing,12,0,yes,https://github.com/spring-projects/spring-boot/wiki/Spring-Boot-4.0-Migration-Guide
10,"Undertow has been completely removed as an embedded server option in Spring Boot 4.0.",true,"Apps using Undertow must switch to Tomcat 11 or Jetty 12. There's no upgrade path.",infrastructure,16,0,yes,https://github.com/spring-projects/spring-boot/wiki/Spring-Boot-4.0-Migration-Guide
11,"Spring Security 7 now enforces PKCE for confidential OAuth 2.0 clients (those with a client secret) — not just public clients.",true,"PKCE was already required for public clients in Security 6. The Security 7 change is that confidential clients now get PKCE parameters (code_challenge, code_challenge_method) added automatically. Legacy OAuth providers that don't support PKCE will reject the authorization request.",security,12,0,yes,https://github.com/spring-projects/spring-security/issues/6548
12,"Hibernate 7 removes version-specific dialects like MySQL57Dialect and PostgreSQL95Dialect.",true,"You'll get a ClassNotFoundException at query time. Only base dialects or auto-detection work now.",persistence,6,0,no,https://github.com/spring-projects/spring-boot/issues/35602
13,"In Spring Boot 4.0, @Retryable(maxAttempts = 3) now makes 4 total calls instead of 3.",true,"The maxAttempts semantics changed: it used to mean total calls including the initial attempt. It now means retries after the initial call. Same annotation, same value, one extra call. Your retry budget silently increases and downstream services see more load than you intended.",silent-failures,6,0,yes,https://docs.spring.io/spring-framework/reference/core/resilience.html
14,"JUnit 4's vintage engine has been completely removed — no more @RunWith.",false,"False — @RunWith(SpringRunner.class) still works in Spring Framework 7 / Boot 4.0, just with a deprecation warning. Full removal is planned for Spring Framework 8. But don't wait: the clock is ticking and migrating JUnit 4 tests to Jupiter takes real effort.",testing,24,0,yes,https://rieckpil.de/whats-new-for-testing-in-spring-boot-4-0-and-spring-framework-7/
15,"Spring Boot 3.5 goes end-of-life on 30 June 2026, and there is no 3.6 — the next version is 4.0.",true,"There's no incremental stepping stone. Teams must jump straight from 3.5 to 4.0.",timeline,0,0.2,no,https://endoflife.date/spring-boot
16,"Spring Boot 4.0 requires Java 21 as its minimum version — Java 17 is no longer supported.",false,"False — Java 17 remains the minimum baseline for both Spring Framework 7 and Spring Boot 4.0. Java 21+ is recommended but not required.",prerequisites,0,0.2,no,https://docs.spring.io/spring-boot/system-requirements.html
17,"The migration from Spring Boot 3.5 to 4.0 is comparable in effort to 3.4 to 3.5.",false,"False — 3.4→3.5 had 5-6 breaking changes and took hours. 3.5→4.0 has 50+ breaking changes and takes days to weeks.",effort,0,0.4,yes,https://github.com/spring-projects/spring-boot/wiki/Spring-Boot-4.0-Migration-Guide
18,"OpenRewrite recipes can fully automate the Spring Boot 3.5 to 4.0 migration.",false,"False — OpenRewrite handles roughly 50%. The other half requires human judgment, testing, and code review.",effort,0,0.3,no,https://www.moderne.ai/blog/spring-boot-4x-migration-guide
19,"Spring Boot 4.0 uses Jakarta EE 10, the same as Spring Boot 3.x.",false,"False — Spring Boot 4.0 moves to Jakarta EE 11 (Servlet 6.1). The main impact isn't API removals (that cleanup happened in Servlet 6.0 / Boot 3.0) — it's that you must upgrade your Servlet container: Tomcat 10.1 → 11, Jetty 11 → 12. Undertow is incompatible entirely.",prerequisites,8,0,yes,https://github.com/spring-projects/spring-boot/wiki/Spring-Boot-4.0-Migration-Guide
20,"Jackson 3.0 keeps the same exception hierarchy — JacksonException still extends IOException.",false,"False — JacksonException is now a RuntimeException. Your catch(IOException) blocks compile but silently stop catching Jackson errors.",silent-failures,10,0,no,https://github.com/FasterXML/jackson/blob/main/jackson3/MIGRATING_TO_JACKSON_3.md
21,"After Spring Boot 3.5 goes EOL, only Spring Boot itself loses support — Spring Security and Spring Framework continue to be patched independently.",false,"False — when Boot 3.5 goes EOL, Spring Framework 6.2, Spring Security 6.4, and the entire portfolio lose community patches simultaneously.",timeline,0,0.3,yes,https://endoflife.date/spring-framework
22,"Spring Boot 4.0 continues to support Undertow as an embedded server.",false,"False — Undertow has been completely removed. You must switch to Tomcat 11 or Jetty 12.",infrastructure,16,0,no,https://github.com/spring-projects/spring-boot/wiki/Spring-Boot-4.0-Migration-Guide
23,"The authorizeRequests() DSL is deprecated but still works in Spring Boot 4.0.",false,"False — authorizeRequests() has been removed entirely. You must use authorizeHttpRequests().",security,10,0,no,https://docs.spring.io/spring-security/reference/6.5/migration-7/configuration.html
24,"Spring Boot 4.0 serialises dates the same way as 3.5 by default.",false,"False — Jackson 3.0 flips from numeric timestamps (1699257000000) to ISO-8601 strings. No error, just different API output.",silent-failures,10,0,no,https://spring.io/blog/2025/10/07/introducing-jackson-3-support-in-spring/
25,"Running on an unsupported Spring Boot version only affects your ability to get new features — security patches continue.",false,"False — EOL means no more security patches. CVEs disclosed after June 30 will have no community fix for 3.5.",timeline,0,0.5,yes,https://endoflife.date/spring-boot
26,"HeroDevs Never-Ending Support (NES) can keep Spring Boot 3.5 patched and secure while you migrate to 4.0 on your own timeline.",true,"NES is a drop-in replacement that continues delivering security patches, compliance coverage, and bug fixes after community EOL — giving your team time to migrate without deadline pressure.",nes,0,0,yes,https://www.herodevs.com/support/spring-nes
